stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
STP1705,Villa de Arevalo,,10.68010397,122.5024916,,,,,
STP1706,Villa de Arevalo,,10.68391828,122.5003623,,,,,
STP1707,Villa de Arevalo,,10.68626157,122.500652,,,,,
STP1708,Villa de Arevalo,,10.68649392,122.5052565,,,,,
STP1709,Villa de Arevalo,,10.68583102,122.5100339,,,,,
STP1710,ABP Motors Villa,,10.68682203,122.515577,,,,,
STP1711,HD Agrivet Supply,,10.68739115,122.5192223,,,,,
STP1712,Villa de Arevalo,,10.68817805,122.5247592,,,,,
STP1713,Villa de Arevalo,,10.68846704,122.5262715,,,,,
STP1714,Total line air conditioning,,10.68978573,122.53002,,,,,
STP1715,Molo,,10.69101665,122.5328992,,,,,
STP1716,Molo,,10.69353903,122.5372713,,,,,
STP1717,Molo,,10.69525795,122.539811,,,,,
STP1718,Molo,,10.69706623,122.5426606,,,,,
STP1719,EDJ Auto Supply,,10.69681311,122.5459758,,,,,
STP1720,Molo,,10.69895693,122.5474146,,,,,
STP1721,Molo,,10.69922484,122.5504729,,,,,
STP1722,168 Platinum Square,,10.69999575,122.5550093,,,,,
STP1723,University of the Philippines Visayas,,10.6998502,122.555801,,,,,
STP1724,Tuburan Study Center,,10.70021021,122.5594564,,,,,
STP1725,City Proper,,10.7009458,122.5632998,,,,,
STP1726,Iloilo Central Elementary School,,10.70111988,122.5656488,,,,,
STP1727,City Proper,,10.69818078,122.5663498,,,,,
STP1728,Erin's Family Pharmacy,,10.69601719,122.5663131,,,,,
STP1729,City Proper,,10.69182563,122.5676435,,,,,
STP1730,City Proper,,10.69193584,122.5710423,,,,,
STP1731,City Proper,,10.69174313,122.573305,,,,,
STP1732,City Proper,,10.69197593,122.5719676,,,,,
STP1733,City Proper,,10.69191703,122.5686879,,,,,
STP1734,City Proper,,10.69311875,122.5663756,,,,,
STP1735,Erin's Family Pharmacy,,10.69601719,122.5663131,,,,,
STP1736,Iloilo Central Elementary School,,10.70034459,122.564897,,,,,
STP1737,City Proper,,10.7009458,122.5632998,,,,,
STP1738,Tuburan Study Center,,10.70008114,122.5582382,,,,,
STP1739,University of the Philippines Visayas,,10.6998502,122.555801,,,,,
STP1740,Local Host,,10.6993496,122.5515036,,,,,
STP1741,Molo,,10.69919659,122.548805,,,,,
STP1742,Molo,,10.69792272,122.5442492,,,,,
STP1743,Molo,,10.69674135,122.5421052,,,,,
STP1744,Molo,,10.69525795,122.539811,,,,,
STP1745,Molo,,10.692446,122.535457,,,,,
STP1746,Molo,,10.68973648,122.5301901,,,,,
STP1747,Villa de Arevalo,,10.68866904,122.5272641,,,,,
STP1748,Villa de Arevalo,,10.68817805,122.5247592,,,,,
STP1749,HD Agrivet Supply,,10.68739115,122.5192223,,,,,
STP1750,Villa de Arevalo,,10.68549661,122.5168213,,,,,
STP1751,Villa de Arevalo,,10.68024345,122.5170435,,,,,
STP1801,Jaro,,10.77153681,122.5840537,,,,,
STP1802,Jaro,,10.76786319,122.5817841,,,,,
STP1803,Iloilo Society Commercial,,10.76400076,122.5792797,,,,,
STP1804,Jaro,,10.76174193,122.577432,,,,,
STP1805,Balantang Gym,,10.75646475,122.5743106,,,,,
STP1806,Ceres Iloilo North Bus Terminal,,10.75422465,122.5725266,,,,,
STP1807,Jaro,,10.74964123,122.5707717,,,,,
STP1808,Jaro,,10.74633341,122.5767157,,,,,
STP1809,Jaro,,10.74049452,122.582236,,,,,
STP1810,Jaro,,10.73907296,122.5818242,,,,,
STP1811,Jaro,,10.73299176,122.579483,,,,,
STP1812,Jaro,,10.73240477,122.5795415,,,,,
STP1813,La Paz,,10.72567492,122.579188,,,,,
STP1814,La Paz,,10.72391407,122.5791458,,,,,
STP1815,La Paz,,10.7214271,122.5789084,,,,,
STP1816,La Paz,,10.71804729,122.5796122,,,,,
STP1817,La Paz,,10.71406292,122.5813622,,,,,
STP1818,Baldoza,,10.71180506,122.5835535,,,,,
STP1819,La Paz,,10.70656821,122.5882516,,,,,
STP1820,Lapuz,,10.70496147,122.5881928,,,,,
STP1821,Lapuz,,10.7023931,122.5867006,,,,,
STP1822,Lapuz,,10.69938486,122.5842524,,,,,
STP1823,Lapuz,,10.6987599,122.5818947,,,,,
STP1824,Lapuz,,10.70101852,122.5792315,,,,,
STP1825,Lapuz,,10.70160008,122.5767313,,,,,
STP1826,Lapuz,,10.70156156,122.5763583,,,,,
STP1827,Lapuz,,10.69753277,122.5739622,,,,,
STP1828,City Proper,,10.69359086,122.5713818,,,,,
STP1829,City Proper,,10.69220342,122.5695044,,,,,
STP1830,City Proper,,10.69503262,122.5707161,,,,,
STP1831,Lapuz,,10.69753277,122.5739622,,,,,
STP1832,Lapuz,,10.69770744,122.5742872,,,,,
STP1833,Lapuz,,10.70160008,122.5767313,,,,,
STP1834,Lapuz,,10.70101852,122.5792315,,,,,
STP1835,Lapuz,,10.69896885,122.5819767,,,,,
STP1836,Lapuz,,10.69938486,122.5842524,,,,,
STP1837,Lapuz,,10.7023931,122.5867006,,,,,
STP1838,Lapuz,,10.70496147,122.5881928,,,,,
STP1839,La Paz,,10.70656821,122.5882516,,,,,
STP1840,Baldoza,,10.71180506,122.5835535,,,,,
STP1841,Ticud Terminal,,10.71371892,122.5817443,,,,,
STP1842,La Paz,,10.71636197,122.5809979,,,,,
STP1843,La Paz,,10.7179849,122.5794354,,,,,
STP1844,La Paz,,10.72372979,122.5793121,,,,,
STP1845,La Paz,,10.72567492,122.579188,,,,,
STP1846,Jaro,,10.73240477,122.5795415,,,,,
STP1847,Jaro,,10.73299176,122.579483,,,,,
STP1848,Jaro,,10.73628035,122.5808874,,,,,
STP1849,Jaro,,10.74049452,122.582236,,,,,
STP1850,Jaro,,10.74633341,122.5767157,,,,,
STP1851,Jaro,,10.74979264,122.5710697,,,,,
STP1852,Jaro,,10.75371082,122.5723929,,,,,
STP1853,Balantang Gym,,10.75646475,122.5743106,,,,,
STP1854,Jaro,,10.75992179,122.5763797,,,,,
STP1855,City Mall Tagbak,,10.76271656,122.5784338,,,,,
STP1856,Jaro,,10.76786319,122.5817841,,,,,
STP1857,Jaro,,10.77082906,122.5836078,,,,,
STP1901,Jaro,,10.74085584,122.5829381,,,,,
STP1902,Jaro,,10.73902109,122.5817626,,,,,
STP1903,Jaro,,10.73289862,122.5794721,,,,,
STP1904,Jaro,,10.73235561,122.5795468,,,,,
STP1905,La Paz,,10.7256831,122.5792128,,,,,
STP1906,La Paz,,10.72397487,122.5791493,,,,,
STP1907,La Paz,,10.7213712,122.5789252,,,,,
STP1908,La Paz,,10.71813706,122.5788921,,,,,
STP1909,La Paz,,10.71813706,122.5788921,,,,,
STP1910,La Paz,,10.7213712,122.5789252,,,,,
STP1911,La Paz,,10.72374492,122.5793129,,,,,
STP1912,La Paz,,10.7256831,122.5792128,,,,,
STP1913,Jaro,,10.73235561,122.5795468,,,,,
STP1914,Jaro,,10.73289862,122.5794721,,,,,
STP1915,Jaro,,10.73624829,122.5809242,,,,,
STP1916,Jaro,,10.7396744,122.5824044,,,,,
STP2001,Mohon Southern Terminal,,10.6933067,122.499958,,,,,
STP2002,Arevalo Elementary School,,10.68891927,122.5171838,,,,,
STP2003,Villa de Arevalo,,10.70099165,122.5213191,,,,,
STP2004,Villa de Arevalo,,10.70339486,122.5233344,,,,,
STP2005,Mandurriao,,10.70556666,122.5252647,,,,,
STP2006,Era May store,,10.71302651,122.5323421,,,,,
STP2007,D and 9 sari sari,,10.71591286,122.536298,,,,,
STP2008,Mandurriao,,10.71781466,122.5396013,,,,,
STP2009,Mandurriao,,10.71838419,122.5466741,,,,,
STP2010,Mandurriao,,10.72000253,122.5527334,,,,,
STP2011,Seminario,,10.72397971,122.5559124,,,,,
STP2012,La Paz,,10.71634427,122.5659749,,,,,
STP2013,La Paz,,10.71634427,122.5659749,,,,,
STP2014,UCPB,,10.7246245,122.5561624,,,,,
STP2015,Mandurriao,,10.72000253,122.5527334,,,,,
STP2016,Mandurriao,,10.71864896,122.548294,,,,,
STP2017,Western Visayas Medical Center,,10.71811766,122.5423106,,,,,
STP2018,D and 9 sari sari,,10.71591286,122.536298,,,,,
STP2019,Era May store,,10.71302651,122.5323421,,,,,
STP2020,Mandurriao,,10.70556666,122.5252647,,,,,
STP2021,Villa de Arevalo,,10.70339486,122.5233344,,,,,
STP2022,Villa de Arevalo,,10.70099165,122.5213191,,,,,
STP2023,Arevalo Elementary School,,10.68891927,122.5171838,,,,,
STP2024,Villa de Arevalo,,10.69318007,122.5008547,,,,,
STP2101,City Mall Tagbak,,10.76276832,122.5784788,,,,,
STP2102,Ceres Iloilo North Bus Terminal,,10.75424416,122.572523,,,,,
STP2103,Jaro,,10.73952121,122.5630787,,,,,
STP2104,We Academy,,10.73144785,122.5596369,,,,,
STP2105,Jaro,,10.72532831,122.5566914,,,,,
STP2106,Mandurriao,,10.71383921,122.5521863,,,,,
STP2107,Mandurriao,,10.71383921,122.5521863,,,,,
STP2108,7-Eleven,,10.70738,122.5480397,,,,,
STP2109,Mandurriao,,10.71175617,122.5444294,,,,,
STP2110,Mandurriao,,10.71729314,122.5470863,,,,,
STP2111,Jaro,,10.7242116,122.5559083,,,,,
STP2112,We Academy,,10.73144785,122.5596369,,,,,
STP2113,Jaro,,10.73952121,122.5630787,,,,,
STP2114,Jaro,,10.75367051,122.5723428,,,,,
STP2115,Jaro,,10.76184276,122.5776364,,,,,
STP2201,Northern Iloilo Bus & Jeepney Terminal,,10.74628073,122.5392229,,,,,
STP2202,Jaro,,10.73845083,122.5434012,,,,,
STP2203,Jaro,,10.73405672,122.5481164,,,,,
STP2204,Jaro,,10.72216042,122.5601182,,,,,
STP2205,Jaro,,10.71867346,122.5637837,,,,,
STP2206,Iloilo Science and Technology University,,10.71598696,122.5660437,,,,,
STP2207,La Paz,,10.71129,122.5697409,,,,,
STP2208,Iloilo Province Pantawid Operations Office,,10.71015579,122.5698997,,,,,
STP2209,LBCarmelo Engineering,,10.71382376,122.5680134,,,,,
STP2210,Jaro,,10.71867346,122.5637837,,,,,
STP2211,Jaro,,10.72216042,122.5601182,,,,,
STP2212,Ledi Supermart,,10.72432836,122.5581701,,,,,
STP2213,GECO Philippines,,10.72786546,122.5559157,,,,,
STP2214,Central Philippine University,,10.73243736,122.5499855,,,,,
STP2215,Jaro,,10.73845083,122.5434012,,,,,
STP2216,Northern Iloilo Bus & Jeepney Terminal,,10.74628073,122.5392229,,,,,
STP2401,La Paz,,10.71325701,122.5679558,,,,,
STP2402,La Paz,,10.70970694,122.566751,,,,,
STP2403,La Paz,,10.70440245,122.5626385,,,,,
STP2404,Mandurriao,,10.70311124,122.5534929,,,,,
STP2405,Mandurriao,,10.7088378,122.551585,,,,,
STP2406,Mandurriao,,10.71398882,122.5522164,,,,,
STP2407,Mandurriao,,10.7116867,122.5515902,,,,,
STP2408,Mandurriao,,10.70879791,122.5496413,,,,,
STP2409,Starbucks,,10.71460281,122.5458195,,,,,
STP2410,Mandurriao,,10.71730163,122.5470876,,,,,
STP2411,Mandurriao,,10.71730163,122.5470876,,,,,
STP2412,Mandurriao,,10.71398882,122.5522164,,,,,
STP2413,Mandurriao,,10.7116867,122.5515902,,,,,
STP2414,Mandurriao,,10.70311124,122.5534929,,,,,
STP2415,La Paz,,10.70440245,122.5626385,,,,,
STP2416,La Paz,,10.70887115,122.5663809,,,,,
STP2417,La Paz Elementary School I,,10.71123755,122.5715064,,,,,
STP2501,BIR Revenue Region № 11,,10.69764512,122.5474721,,,,,
STP2502,i.mart,,10.69931955,122.5514178,,,,,
STP2503,University of San Agustin,,10.70083297,122.5636584,,,,,
STP2504,The Atrium,,10.70150638,122.5682669,,,,,
STP2505,City Proper,,10.69722972,122.5690073,,,,,
STP2506,Chowking,,10.6936126,122.5713437,,,,,
STP2507,City Proper,,10.69274001,122.5690989,,,,,
STP2508,City Proper,,10.69592564,122.5695147,,,,,
STP2509,Royale Business Club ILOILO BRANCH,,10.6955656,122.5658086,,,,,
STP2510,Colegio de las Hijas de Jesus,,10.69454867,122.5625064,,,,,
STP2511,City Proper,,10.69384137,122.5564162,,,,,
STP2512,Molo,,10.69220267,122.5497975,,,,,
STP2513,Molo,,10.69432035,122.5457968,,,,,
